,Report Received Date,NHTSA ID,Recall Link,Manufacturer,Subject,Component,Mfr Campaign Number,Recall Type,Potentially Affected,Recall Description,Consequence Summary,Corrective Action,Park Outside Advisory,Do Not Drive Advisory,Stock Abbreviation,fuzzy_company,ticker,open,close,market_cap,eps,full_name
232,2025-07-07,25V455000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V455000),Ford Motor Company,Low Pressure Fuel Pump May Fail,"FUEL SYSTEM, GASOLINE",25S75,Vehicle,850318,"Ford Motor Company (Ford) is recalling certain 2021-2023 Bronco, Explorer, Lincoln Aviator, F-250 SD, F-350 SD, F-450 SD,  F-550 SD, 2021-2022 Lincoln Navigator, Mustang, F-150, and 2022 Expedition vehicles. The low-pressure fuel pump may fail, which can result in an engine stall while driving.",An engine stall increases the risk of a crash.,"The remedy is under development. Owner notification letters notifying owners of the safety risk were mailed July 16, 2025. Second letters will be sent once the remedy is available. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S75.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
234,2025-07-03,25V448000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V448000),"Bombardier Recreational Products, Inc.",Loss of Drive Power,POWER TRAIN,Bulletin 2025-4,Vehicle,843,"Bombardier Recreational Products, Inc. (BRP) is recalling certain 2025 Can-Am Canyon motorcycles. On these motorcycles, the drive belt lower idler support will fail and possibly cause a belt failure.","Belt failure can result in a loss of drive power, increasing the risk of a crash.","Dealers will install a new drive belt lower Idler support, free of charge. Owner notification letters are expected to be mailed August 15, 2025. Owners may contact BRP customer service at 1-888-272-9222. The manufacturer number for this recall is Bulletin 2025-4.",No,No,NYSE:DOOO,ENTERPRISE PRODUCTS PARTNERS L.P.,EPDU,,,,,
237,2025-07-02,25V447000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V447000),Shyft Group,Parking Brake May Not Engage,,25-17,Vehicle,150,"Shyft Group (Shyft) is recalling certain 2024-2025 Blue ARC BA4L-800 vehicles. The spacer for the brake caliper may be too big, resulting in an increased air gap.","A brake caliper with an increased air gap may prevent the parking brake from properly engaging, allowing the vehicle to rollaway and increasing the risk of a crash.","Shyft will replace the brake calipers, free of charge. Owner notification letters are expected to be mailed July 2025. Owners may contact Shyft customer service at 1-800-237-7806. Shyft's number for this recall is 25-17.",No,No,NYSE:SHYF,Alibaba Group Holding Ltd,BBAAY,,,,,
238,2025-07-02,25V409000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V409000),"Polestar Automotive USA, Inc.",Loss of Brake Function,,RP1061,Vehicle,2,"Polestar Automotive USA, Inc. (Polestar) is recalling certain 2021 and 2024 Polestar 2 vehicles. In certain driving scenarios while coasting down a hill and using ""One Pedal Drive,"" the vehicle may lose brake function.",A loss of brake function increases the risk of a crash.,"Owners are advised not to use ""One Pedal Drive"" until the repair has been completed. Polestar has released an over-the-air (OTA) software update, free of charge. Owner notification letters were mailed July 18, 2025. Owners may contact Polestar's customer service at 1-800-806-2504. Polestar's number for this recall is RP1061.",No,No,NYSE:PSNY,Polestar Automotive Holding UK PLC,PLSAY,,,,,
239,2025-06-30,25V434000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V434000),"Volkswagen Group of America, Inc.",Loss of Vehicle Control from Loose Brake and Suspension Bolts,,42HX,Vehicle,546,"Volkswagen Group of America, Inc. (Volkswagen) is recalling certain 2023-2025 Atlas, Atlas Cross Sport and 2023-2024 ID.4 vehicles. Certain bolts on the chassis, brake system and/or suspension (such as bolts for certain  cross member, engine mount, control arm, subframe, rear brake carrier, etc.) of affected vehicles may not have been correctly tightened during the manufacturing process.",A loss of vehicle control increases the risk of a crash.,"Dealers will replace the bolts as necessary, free of charge. Owner notification letters were mailed July 25, 2025. Owners may contact Audi customer service at 1-800-253-2834. Volkswagen's number for this recall is 42HX.",No,No,NYSE:,REINSURANCE GROUP OF AMERICA INC,RZC,24.622653385802415,24.56471824645996,,,7.125% Fixed-Rate Reset Subordinated Debentures due 2052
240,2025-06-30,25V446000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V446000),Terminal Investment Corporation,Reduced Brake Performance/FMVSS 121,"SERVICE BRAKES, AIR",,Vehicle,76,"Terminal Investment Corporation (TICO) is recalling certain 2024-2025 Pro Spotter trucks. The vehicles may be equipped with a non-DOT brake line fitting, resulting in reduced braking performance. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 121, ""Air Brake Systems.""","Reduced brake performance can extend the distance required to stop, increasing the risk of a crash.","Dealers will inspect and replace the fitting as necessary, free of charge. Owner notification letters are expected to be mailed July 21, 2025. Owners may contact TICO customer service at 1-843-536-8139.",No,No,NYSE:,AGNC Investment Corp.,AGNCL,24.08998002548875,23.897645950317383,,,AGNC Investment Corp.
241,2025-06-30,25V378000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V378000),Honda (American Honda Motor Co.),Improperly Installed Fuel Hose May Leak/FMVSS 301,"FUEL SYSTEM, GASOLINE",TLS,Vehicle,6,"Honda (American Honda Motor Co.) is recalling certain 2025 Honda CR-V Hybrid vehicles. The fuel feed hose may have been improperly installed, allowing fuel to leak. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 301, ""Fuel System Integrity.""",A fuel leak in the presence of an ignition source increases the risk of a fire.,"Dealers will install a new fuel feed hose and connector cover, free of charge. Owners may contact Honda's customer service at 1-888-234-2138. Honda's number for this recall is TLS.",No,No,NYSE:,HONDA MOTOR CO LTD,HNDAF,9.59000015258789,10.130000114440918,40674668544,0.95,"Honda Motor Co., Ltd."
242,2025-06-27,25V445000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V445000),Orange EV,Incorrect Washer Can Cause Fire,ELECTRICAL SYSTEM,2025-SRC-05,Vehicle,20,Orange EV (OEV) is recalling certain 2023-2025 HUSK-e terminal trucks previously remedied under Recall 25V367 (2025-SRC-04). The wrong size washer was installed in the thermal fuse bolted joint during the previous repair.,"The incorrect washer can cause the bus bar connection to loosen or open, resulting in electrical arcing and increasing the risk of a fire.","OEV will install the correctly sized washer, free of charge.  Owner notification letters are expected to be mailed July 9, 2025. Owners may contact OEV customer service at 1-866-688-5223. OEV's number for this recall is 2025-SRC-05.",No,No,NYSE:,LOBO EV TECHNOLOGIES LTD,LOBO,0.5189999938011169,0.5299999713897705,12963091,-0.35,Lobo Technologies Ltd.
243,2025-06-27,25V437000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V437000),"Nissan North America, Inc.",Engine Failure,ENGINE AND ENGINE COOLING,R25A8/A9 R25B1/B2,Vehicle,443899,"Nissan North America, Inc. (Nissan) is recalling certain 2021-2024 Rogue, 2019-2020 Altima, 2019-2022 Infiniti QX50, and 2022 Infiniti QX55 vehicles equipped with 3-cylinder 1.5L or 4-cylinder 2.0L variable compression turbo (VC-Turbo) engines. The engine bearings may have manufacturing defects that can lead to engine failure.","Engine failure increases the risk of a crash. A bearing failure may cause a breach in the engine block, allowing hot oil to be discharged, increasing the risk of an engine fire.","The remedy is currently under development. Once the repair is available, repairs will be performed free of charge. Interim letters notifying owners of the safety risk were mailed August 25, 2025. A second letter will be sent once the remedy is available. Owners may contact Nissan's customer service at 800-647-7261 or Infiniti's customer service at 1-800-662-6200. Nissan's numbers for this recall are R25A8/A9 and R25B1/B2.",No,No,NYSE:NSANY,Central North Airport Group,GAERF,12.489999771118164,12.489999771118164,4924503552,0.73,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V."
244,2025-06-27,25T011000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25T011000),PT. Elangperdana Tyre Industry,Tire Sidewall Separation/ FMVSS 139,TIRES,,Tire,4196,"PT. Elangperdana Tyre Industry (EP Tyre) is recalling certain Accelera Omikron A/T tires, size LT265/65R18A. The sidewall may separate near the tire bead. As such, these tires fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 139, ""New Pneumatic Radial Tires for Light Vehicles.""","A sidewall separation can cause a tire failure, increasing the risk of a crash.","EP Tyre will provide a refund. Owner notification letters were mailed August 8, 2025. Owners may contact EP Tyre's customer service at +62 (21) 876-5105.",No,No,NYSE:,NP Life Sciences Health Industry Group Inc.,ACAT,0.05389999970793724,0.05389999970793724,42959576,-0.0,"Acasia Technology, Inc."
245,2025-06-27,25E042000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25E042000),Ford Motor Company,Trailer Brakes May Fail,,25S73,Equipment,4,"Ford Motor Company (Ford) is recalling certain Trailer Brake Controllers sold as accessory parts for 2021-2022 F-150 vehicles with part numbers ML3Z-19H332-AA, ML3Z-19H332-BA and ML3Z-19H332-CA. This recall includes vehicles equipped with the recalled accessory parts that were previously repaired  incorrectly under recall 22E045. The trailer brake controllers may fail to apply the trailer brakes when towing a trailer equipped with an electric or electric-over-hydraulic brake system.","Loss of trailer brake functionality could result in extended stopping distance, increasing the risk of a crash.","Dealers will update the integrated trailer brake control module software, free of charge. Owner notification letters were mailed August 29, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S73.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
246,2025-06-27,25V443000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V443000),Ford Motor Company,Rear Wing Hydraulic Fluid Leak may Cause Fire,,25S74,Vehicle,2,Ford Motor Company (Ford) is recalling certain 2017 GT vehicles previously repaired incorrectly under recall 18V707. The rear wing valve block may leak hydraulic fluid.,A hydraulic fluid leak in the presence of an ignition source can increase the risk of a fire.,"Dealers will update the dynamics control module software and replace the rear wing check valve as necessary, free of charge. Owner notification letters were mailed August 8, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S74.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
247,2025-06-23,25V363000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V363000),"Kawasaki Motors Corp., U.S.A.",Improper Electrical Ground Connection Between Battery and Frame,ELECTRICAL SYSTEM,MC25-06,Vehicle,482,"Kawasaki Motors Corp., U.S.A. (KMC) is recalling certain 2025 BJ230A (W230 ABS) motorcycles. The electrical ground connection between the battery and frame may become unstable and result in an engine stall.",An engine stall increases the risk of a crash or injury.,"KMC will replace the battery harness and secure the ground connection, free of charge. Owner notification letters were mailed on June 12, 2025. KMC's number for this recall is MC25-06.",No,No,NYSE:,Kawasaki Kisen Kaisha Ltd,KAKKF,-48.70098876953125,-48.70098876953125,9373844480,3.03,"Kawasaki Kisen Kaisha, Ltd."
248,2025-06-27,25V442000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V442000),Ford Motor Company,Rearview Camera Image May Not Display,BACK OVER PREVENTION,25S72,Vehicle,200186,"Ford Motor Company (Ford) is recalling certain 2018-2022 Transit Connect, 2019-2020 MKZ, Edge, Continental, F-150, Nautilus, Fusion, 2019-2023 Ranger, Mustang, 2020-2021 EcoSport, Expedition, Navigator, 2020-2022 Escape, F-250 SD, Corsair, 2020-2023 Aviator, Transit, 2020-2024 Explorer, 2021-2024 Bronco Sport, and 2022-2024 Maverick vehicles. A software error may cause the rearview camera to display a blank image, or the image may remain on the display after the backing event has ended.",A rearview camera that displays a blank image can reduce the driver's view behind the vehicle. A rearview image that continues to be displayed after the vehicle is shifted out of reverse may distract the driver. Both of these situations can increase the risk of a crash.,"Dealers will update the rearview camera software, free of charge. Owner notification letters were mailed September 4, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S72.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
249,2025-06-27,25V441000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V441000),Ford Motor Company,High Voltage Battery Contactor May Overheat,ELECTRICAL SYSTEM,23S56,Vehicle,239,Ford Motor Company (Ford) is recalling certain 2022 Mustang Mach E vehicles equipped with an extended range battery. The high voltage battery main contactors may overheat.,"An overheated high voltage battery contactor can result in a loss of drive power, increasing the risk of a crash.","Dealers will replace the high voltage battery junction box, free of charge. Owner notification letters were mailed July 10, 2025. Owners may contact Ford Customer Service at 1-866-436-7332. Ford's number for this recall is 23S56. This recall is an expansion of previous NHTSA recall number 23V687.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
250,2025-06-27,25V428000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V428000),"Volkswagen Group of America, Inc.",Loose Retaining Ring May Cause Dislodged Air Strut,SUSPENSION,40LF,Vehicle,8,"Volkswagen Group of America, Inc. (Volkswagen) is recalling certain 2025 Audi E-Tron GT vehicles. A retaining ring on top of the suspension strut may come loose, resulting in a dislodged strut and air loss from the strut spring.","An air suspension strut failure may cause a loss of vehicle handling and control, increasing the risk of a crash.","Dealers will inspect and replace the air suspension struts as necessary, free of charge. Owner notification letters were mailed July 16, 2025. Owners may contact Audi customer service at 1-800-253-2834. Volkswagen's number for this recall is 40LF.",No,No,NYSE:,REINSURANCE GROUP OF AMERICA INC,RZC,24.79646314580767,24.622655868530273,,,7.125% Fixed-Rate Reset Subordinated Debentures due 2052
251,2025-06-27,25V417000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V417000),Bowlus Road Chief LLC,Hitch Bolt Maintenance Instructions Missing from Owners Manual,EQUIPMENT,,Vehicle,57,"Bowlus Road Chief LLC (Bowlus) is recalling certain 2022-2023, 2025 Endless Highways, 2024-2025 Volterra, 2024 Terra Firma, and 2025 Rivet trailers equipped with an elongated hitch. The owners manual does not include instructions to retighten the two hitch bolts in the maintenance schedule.","Without regular tightening, the hitch bolts can loosen, allowing the top and bottom of the hitch to separate from each other, which could create a hazard and increase the risk of a crash.","Bowlus will provide a supplement to the owners manual. Dealers will inspect, replace, and tighten the hitch bolts, as necessary. All repairs will be performed free of charge. Owner notification letters were mailed July 1, 2025. Owners may contact Bowlus' customer service at service@bowlus.com.",No,No,NYSE:,Timber Road Acquisition Corp,TMRD,,,,,
252,2025-06-27,25V440000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V440000),"Daimler Trucks North America, LLC",Incorrectly Routed Compressed Natural Gas Fuel Line,"FUEL SYSTEM, OTHER",F1021,Vehicle,4,"Daimler Trucks North America LLC (DTNA) is recalling certain 2026 Freightliner Cascadia Fifth Gen vehicles. The compressed natural gas fuel line was routed incorrectly, allowing it to chafe and damage wiring harnesses and brake lines.",Damaged wiring harnesses and brake lines can cause a loss of brake function and increase the risk of a crash. A damaged fuel line increases the risk of a fire.,"DTNA inspected and rerouted the compressed natural gas fuel line, as necessary free of charge. All vehicles have been remedied. Owners may contact DTNA customer service at 1-800-547-0712.  DTNA's number for this recall is F1021.",No,No,NYSE:,DAIMLER AG,MBGAF,58.86000061035156,58.79999923706055,60297027584,8.21,Mercedes-Benz Group AG
253,2025-06-27,25V444000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V444000),Oshkosh Corporation,Air Bag Warning Labels May Detach/FMVSS 208,EQUIPMENT,NGDV_TSB_040,Vehicle,917,"Oshkosh Corporation (Oshkosh Defense) is recalling certain 2025 NGDV delivery vehicles. The air bag warning label on the sun visor may detach. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 208, ""Occupant Crash Protection.""","A missing label cannot warn occupants about the risks of air bag deployment, increasing the risk of injury during a crash.","Oshkosh Defense will replace the sun visor assembly and add an electric shock warning label as necessary, free of charge. Owner notification letters were mailed July 18, 2025. Owners may contact Oshkosh customer service at 1-833-304-8100. Oshkosh's number for this recall is NGDV_TSB_040.",No,No,NYSE:OSK,OSHKOSH CORP,OSK,112.88808813855937,113.20692443847656,8926124032,9.96,Oshkosh Corporation
254,2025-06-27,25V439000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V439000),Ford Motor Company,Air Bags May Deploy with Excessive Force,AIR BAGS,25S51,Vehicle,171,"Ford Motor Company (Ford) is recalling certain 2025 Navigator and Expedition vehicles. The passenger side air bag may have been manufactured incorrectly, which can cause the air bag to deploy with excessive force during a crash.",An air bag that deploys with excessive force can increase the risk of injury during a crash.,"Dealers will replace the  passenger side air bags, free of charge. Owner notification letters were mailed August 8, 2025. Owners may contact Ford Customer Service at 1-866-436-7332. Ford's number for this recall is 25S51.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
255,2025-06-27,25V438000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V438000),Ford Motor Company,Front Brake Jounce Hose May Contact Tire and Leak,"SERVICE BRAKES, HYDRAULIC",25S71,Vehicle,5,"Ford Motor Company (Ford) is recalling certain 2025 F-150 Lightning BEV vehicles. The front brake jounce hose bracket screws may loosen and detach, which can allow the jounce hose to contact the tire and result in a brake fluid leak.","A brake fluid leak can extend the distance needed to stop the vehicle, increasing the risk of a crash.","Dealers will inspect the front brake hose and replace both brake jounce hose bracket screws, free of charge. Owner notification letters were mailed July 15, 2025. Owners may contact Ford customer service at 1-866-436-7332. Ford's number for this recall is 25S71.",No,No,NYSE:F,FORD MOTOR CO,F-PD,,,,,
257,2025-06-26,25V429000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V429000),Great Dane Trailers,Improperly Tightened Roll-Up Door Bolts,STRUCTURE,,Vehicle,444,Great Dane Trailers (Great Dane) is recalling certain 2026 Champion dry van trailers. The roll-up door operator bolts may not have been properly tightened and increasing the force required to open or close the door.,"A roll-up door that sticks and requires greater force to open or close may move too fast, increasing the risk of injury.","Dealers will tighten the operator bolts, free of charge. Owner notification letters were mailed August 15, 2025. Owners may contact Great Dane customer service at 1-877-369-3493.",No,No,NYSE:,GREAT-WEST LIFECO INC.,GRWTF,14.14687442779541,14.14687442779541,,,Great-West Lifeco Inc.
258,2025-06-26,25V435000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V435000),Honda (American Honda Motor Co.),Tires Manufactured Incorrectly/FMVSS 119,,KS4,Vehicle,112,"Honda (American Honda Motor Co.) is recalling certain 2024 Honda NC750X motorcycles. Due to an improper manufacturing process, the inner structure of the front tire may loosen and unravel, which can result in a loss of vehicle handling and control. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 119, ""New Pneumatic Tires - Other Than Passenger Cars.""",A loss of vehicle handling and control increases the risk of a crash or injury.,"Dealers will replace the front tire, free of charge. Owner notification letters were mailed August 4, 2025. Owners may contact Honda customer service at 1-866-784-1870. Honda's number for this recall is KS4.",No,No,NYSE:,HONDA MOTOR CO LTD,HNDAF,10.0,10.069999694824219,40674668544,0.95,"Honda Motor Co., Ltd."
260,2025-06-26,25V432000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V432000),"General Motors, LLC",Roof Rail Air Bag Inflator Endcap May Detach,,N252513060,Vehicle,1658,"General Motors (GM) is recalling certain 2018 GMC Sierra 1500, 2019 Sierra 2500, 3500, Chevrolet Silverado 3500, and Chevrolet Silverado 2500 and 2018 Chevrolet Silverado 1500 Crew Cab vehicles. The left or right-side roof-rail air bag (RRAB) inflator end cap may detach from the inflator or the inflator sidewall may rupture.","A detached end cap or inflator rupture can allow compressed gas to escape and project the end cap or fragments of the inflator into the vehicle, increases the risk of injury or crash.","Dealers will replace the left and right side RRAB modules, free of charge. Owner notification letters were mailed July 23, 2025. Owners may contact GMC customer service at 1-888-988-7267 or Chevrolet customer service at 1-800-222-1020. GM's number for this recall is N252513060.",No,No,NYSE:GM,General Motors Co,GM,47.91608178505842,49.0331916809082,64983121920,5.24,General Motors Company
262,2025-06-26,25V436000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V436000),PACCAR Incorporated,Insufficient Illumination from Lights/FMVSS 108,EXTERIOR LIGHTING,25PACF,Vehicle,56260,"PACCAR Incorporated (PACCAR) is recalling certain 2024-2026 Kenworth T480, T680, T880, W990, Peterbilt 520, 536, 537, 548, 567, 579, 589, 2025 Kenworth T180, Peterbilt 535, 2025-2026 Kenworth T280, T380 and L770 vehicles. The tail brake light, upper and lower beam headlights, reverse light, and turn signal may not illuminate as intended. In addition, the lift axles, if lowered, may revert to a raised position, or oscillate up and down when the signal warning lights are activated. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices and Associated Equipment.""","Delayed and unsteady headlights can result in insufficient illumination of the road, decreasing the driver's visibility and increasing the risk of a crash. In addition, an unexpected position change of the lift axles may increase the risk of injury.","Dealers will update the VCU software, free of charge. Owner letters were mailed August 19, 2025. Owners may contact Kenworth's customer service at 1-425-828-5888 and Peterbilt's customer service at 1-940-591-4220. PACCAR's number for this recall is 25PACF.",No,No,NYSE:PCAR,PACCAR INC,PCAR,94.08055536208099,94.5689468383789,52588273664,5.1,PACCAR Inc
263,2025-06-25,25V414000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V414000),"International Motors, LLC",Brake Pressure Switch May Short and Cause Fire,,25507,Vehicle,12004,"International Motors, LLC (International) is recalling certain 2019-2025 CV vehicles. The brake pressure sensor assembly may leak brake fluid into the brake pressure switch and cause a short circuit.",An electrical short in the brake pressure switch can overheat the circuit and increase the risk of a fire while driving or parked.,"Owners are advised to park outside and away from structures until the recall repair is complete. Dealers will replace the brake pressure switch/fuse harness, free of charge. Owner notification letters are expected to be mailed September 22, 2025. Owners may contact International customer service at 1-800-448-7825.  International's number for this recall is 25507. Vehicles in this recall that were previously repaired under 23V282 will need to have the new remedy completed.",Yes,No,NYSE:,General Motors Co,GM,48.893551533856346,48.0058479309082,64983121920,5.24,General Motors Company
264,2025-06-25,25V433000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V433000),"General Motors, LLC",Damaged Parking Brake Wiring Harness,,N252503010,Vehicle,40233,"General Motors, LLC (GM) is recalling certain 2024-2025 Chevrolet Blazer EV vehicles. The rear parking brake wiring harness may become damaged or corroded, resulting in unintended activation of the parking brake or loss of the parking brake function.","Unintended activation of the parking brake while driving increases the risk of a crash. Loss of the parking brake function while parked can result in a rollaway, increasing the risk of a crash.","Dealers will inspect the harness and, if necessary, reroute the harness and install anti-abrasive tape. Any harness that has existing damage will be replaced. Repairs will be performed free of charge. Owner notification letters are expected to be mailed on August 11, 2025. Owners may contact Chevrolet customer service at 1-800-222-1020. GM's number for this recall is N252503010.",No,No,NYSE:GM,General Motors Co,GM,48.893551533856346,48.0058479309082,64983121920,5.24,General Motors Company
265,2025-06-24,25V392000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V392000),"Volvo Car USA, LLC",Loss of Brake Function,,R10329,Vehicle,11469,"Volvo Car USA, LLC (Volvo Car) is recalling certain 2023 Volvo C40 BEV, 2025 EC40, 2023-2024 XC40 BEV, 2020-2026 XC90 PHEV, 2022-2026 XC60 PHEV, 2023-2025 S60 PHEV, 2024-2025 V60 PHEV, and 2025-2026 EX40 and 2025 S90 PHEV vehicles. In certain driving scenarios while coasting down a hill and using ""B"" mode or ""One Pedal Drive,"" the vehicle may lose brake function.",A loss of brake function increases the risk of a crash.,"Owners are advised not to use ""B"" Mode (for plug-in hybrid vehicles) or ""One Pedal Drive"" (for pure electric vehicles) until the repair has been completed. The brake module software will be updated over-the-air (OTA) or by a dealer, free of charge. Owner notification letters were mailed July 15, 2025. Owners may contact Volvo Car's customer service at 1-800-458-1552. Volvo Car's number for this recall is R10329.",No,No,NYSE:,"Mister Car Wash, Inc.",MCW,6.480000019073486,6.429999828338623,1646194432,0.26,"Mister Car Wash, Inc."
266,2000-07-27,00V192000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=00V192000),HINO DIESEL TRUCKS(USA),HINO DIESEL/ABS,"SERVICE BRAKES, HYDRAULIC",NR (Not Reported),Vehicle,1848,VEHICLE DESCRIPTION:  MEDIUM DUTY TRUCKS EQUIPPED WITH ANTI-LOCK BRAKE SYSTEM (ABS) AND AIR OVER HYDRAULIC BRAKE ACTUATION.  THE ABS COMPUTER UNIT IS FAULTY WHICH COULD INCREASE BRAKING DISTANCES.,INCREASED BRAKING DISTANCES CAN INCREASE THE RISK OF A CRASH.,DEALERS WILL REPLACE THE ABS COMPUTER CONTROLLER UNIT.,No,No,NYSE:,COMFORT SYSTEMS USA INC,FIX,3.6601794457090078,3.4596216678619385,34625064960,23.56,"Comfort Systems USA, Inc."
268,2025-06-23,25V326000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V326000),"Daimler Trucks North America, LLC",Incorrectly Installed Battery Connection May Cause Fire,ELECTRICAL SYSTEM,F1020,Vehicle,22271,"Daimler Trucks North America (DTNA) is recalling certain 2020-2026 Western Star 49X and 2021-2026 Western Star 47X vehicles. A stud connecting the battery to the starter at the frame rail may have been incorrectly installed, which can cause a short circuit.",A short circuit increases the risk of a fire.,"DTNA will inspect and replace damaged cables and loose hardware. In addition, DTNA will properly tighten hardware and install dielectric tape. All repairs will be performed, as necessary, free of charge. Owner notification letters were mailed July 1, 2025. Owners may contact DTNA customer service at 1-800-547-0712. DTNA's number for this recall is F1020.",No,No,NYSE:,DAIMLER AG,MBGAF,55.5,56.380001068115234,60297027584,8.21,Mercedes-Benz Group AG
270,2025-06-23,25V383000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V383000),Keystone RV Company,Incorrectly Installed Generator Fuel Lines,EQUIPMENT,25-471,Vehicle,424,Keystone RV Company (Keystone) is recalling certain 2025 Fuzion and Raptor toy hauler recreational trailers. The generator's fuel and vapor hoses may have been reversed during installation.,"Incorrectly connected hoses can feed fuel into the incorrect side of the carburetor, increasing the risk of a fire.","Dealers will correct the hose placement, free of charge. Owner notification letters were mailed July 1, 2025. Owners may contact 1-866-425-4369. Keystone's number for this recall is 25-471.",No,No,NYSE:,FIRST KEYSTONE CORP,FKYS,14.758621215820312,14.758621215820312,103853648,1.27,First Keystone Corporation
271,2025-06-23,25V384000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25V384000),Keystone RV Company,Rear Gate Pins Missing From Leg Support Bracket,,25-470,Vehicle,491,"Keystone RV Company (Keystone) is recalling certain 2025 Carbon, Fuzion, and Raptor toy hauler recreational trailers. The rear gate pins and/or leg support bracket may be missing, allowing the gate to shift during operation.",A rear gate that shifts or patio stairs that becomes unstable increase the risk of injury.,"Dealers will install the gate pins and/or leg support brackets, free of charge. Owner notification letters were mailed August 4, 2025. Owners may contact Keystone customer service at 1-866-425-4369. Keystone's number for this recall is 25-470.",No,No,NYSE:,FIRST KEYSTONE CORP,FKYS,14.758621215820312,14.758621215820312,103853648,1.27,First Keystone Corporation
272,2025-06-23,25E040000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=25E040000),Micro DOT Helmet Co.,Helmets May Not Adequately Protect User/FMVSS 218,EQUIPMENT,,Equipment,19000,"Micro DOT Helmet Co. (Micro DOT) is recalling certain Blister and Twister original helmets, sizes XXS - XXL. The helmets may lack proper penetration protection. As such, these helmets fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 218, ""Motorcycle Helmets.""",A helmet that does not provide adequate protection increases the risk of injury during a crash.,"Micro DOT will replace the helmets, free of charge. Owner notification letters were mailed June 6, 2025. Owners may contact Micro DOT customer service at 1-817-478-0497.",No,No,NYSE:,GREEN DOT CORP,GDOT,9.550000190734863,10.010000228881836,724536576,-0.44,Green Dot Corporation
